cases,gamma
76.00,0.21
43.00,0.84
55.00,0.50
40.00,0.91
73.00,0.70
102.00,0.25
58.00,0.96
89.00,0.29
80.00,0.77
82.00,0.28
77.00,0.66
42.00,0.95
62.00,0.93
38.00,0.99
73.00,0.38
70.00,0.58
113.00,0.46
70.00,0.44
67.00,0.72
84.00,0.65
85.00,0.40
94.00,0.35
97.00,0.23
47.00,0.94
58.00,0.24
49.00,0.93
52.00,0.76
42.00,0.88
78.00,0.45
51.00,0.95
74.00,0.40
75.00,0.45
56.00,0.82
90.00,0.20
46.00,0.86
54.00,0.51
65.00,0.17
105.00,0.19
68.00,0.56
89.00,0.46
60.00,0.90
61.00,0.84
85.00,0.86
64.00,0.23
52.00,0.69
81.00,0.30
85.00,0.54
110.00,0.45
56.00,0.97
35.00,0.97
74.00,0.46
85.00,0.22
52.00,0.99
69.00,0.22
44.00,0.95
91.00,0.59
73.00,0.70
96.00,0.31
58.00,0.95
96.00,0.49
53.00,0.81
56.00,0.87
111.00,0.44
76.00,0.85
63.00,0.38
82.00,0.21
44.00,0.84
68.00,0.56
68.00,0.91
86.00,0.18
100.00,0.30
86.00,0.32
62.00,0.52
80.00,0.50
54.00,0.98
91.00,0.76
64.00,0.48
47.00,0.76
93.00,0.56
62.00,0.37
71.00,0.33
72.00,0.50
111.00,0.21
80.00,0.53
48.00,0.91
39.00,0.87
79.00,0.44
16.00,0.96
58.00,0.82
70.00,0.67
30.00,0.87
74.00,0.88
69.00,0.59
48.00,0.96
39.00,0.94
45.00,0.98
74.00,0.50
65.00,0.39
59.00,0.81
36.00,0.99
112.00,0.54
65.00,0.77
114.00,0.20
82.00,0.27
66.00,0.60
66.00,0.42
69.00,0.35
89.00,0.38
91.00,0.60
73.00,0.61
60.00,0.77
97.00,0.43
69.00,0.47
29.00,1.00
80.00,0.29
88.00,0.42
62.00,0.66
84.00,0.35
56.00,0.77
72.00,0.51
76.00,0.61
37.00,0.76
68.00,0.23
78.00,0.64
27.00,0.94
91.00,0.43
64.00,0.83
50.00,1.00
51.00,0.83
47.00,0.84
101.00,0.37
86.00,0.68
47.00,0.83
36.00,0.80
71.00,0.61
90.00,0.70
64.00,0.70
51.00,0.95
73.00,0.37
58.00,0.40
79.00,0.56
72.00,0.55
88.00,0.61
60.00,0.94
61.00,0.34
48.00,0.83
93.00,0.44
65.00,0.64
33.00,0.99
57.00,0.95
74.00,0.48
57.00,0.56
54.00,0.64
52.00,0.87
79.00,0.19
113.00,0.17
50.00,0.97
56.00,0.92
52.00,0.85
61.00,0.62
82.00,0.43
55.00,0.86
51.00,0.95
57.00,0.55
75.00,0.82
53.00,0.79
83.00,0.76
91.00,0.42
83.00,0.28
28.00,0.82
53.00,0.90
68.00,0.50
50.00,0.69
78.00,0.79
49.00,0.98
60.00,0.87
90.00,0.62
47.00,0.99
78.00,0.63
78.00,0.47
74.00,0.71
69.00,0.29
61.00,0.58
74.00,0.59
110.00,0.48
64.00,0.66
49.00,0.88
56.00,0.52
75.00,0.37
52.00,0.88
39.00,0.79
58.00,0.29
56.00,0.39
76.00,0.24
71.00,0.66
70.00,0.61
87.00,0.23
86.00,0.49
77.00,0.46
41.00,0.86
91.00,0.43
85.00,0.49
74.00,0.70
46.00,0.98
52.00,0.63
85.00,0.76
37.00,0.93
65.00,0.78
42.00,0.79
38.00,0.66
83.00,0.67
98.00,0.65
43.00,0.80
95.00,0.45
70.00,0.66
53.00,0.87
58.00,0.92
32.00,0.99
68.00,0.64
68.00,0.38
81.00,0.29
85.00,0.34
57.00,0.57
86.00,0.21
91.00,0.34
42.00,0.90
45.00,0.98
66.00,0.81
61.00,0.80
38.00,0.87
41.00,0.97
70.00,0.47
63.00,0.51
100.00,0.30
77.00,0.40
59.00,0.79
94.00,0.43
66.00,0.73
72.00,0.19
116.00,0.26
83.00,0.84
102.00,0.45
49.00,0.90
100.00,0.75
105.00,0.43
80.00,0.49
73.00,0.37
95.00,0.37
68.00,0.41
55.00,0.61
52.00,0.63
73.00,0.48
75.00,0.25
62.00,0.53
45.00,0.94
54.00,0.69
60.00,0.67
81.00,0.81
103.00,0.21
48.00,0.83
87.00,0.42
74.00,0.52
89.00,0.27
65.00,0.86
112.00,0.50
77.00,0.45
60.00,0.43
86.00,0.57
44.00,0.83
50.00,0.94
43.00,0.97
75.00,0.78
106.00,0.46
42.00,0.83
52.00,0.79
67.00,0.72
75.00,0.40
78.00,0.57
80.00,0.24
83.00,0.61
72.00,0.65
42.00,0.99
70.00,0.66
62.00,0.67
94.00,0.20
86.00,0.80
55.00,0.78
93.00,0.26
70.00,0.80
56.00,0.60
22.00,0.93
76.00,0.94
56.00,0.71
41.00,0.97
67.00,0.26
51.00,0.28
79.00,0.70
53.00,0.94
42.00,0.94
33.00,0.94
52.00,0.30
41.00,0.77
41.00,0.99
74.00,0.60
75.00,0.20
60.00,0.41
80.00,0.65
67.00,0.78
82.00,0.40
51.00,0.34
78.00,0.66
87.00,0.44
72.00,0.24
36.00,0.98
101.00,0.57
42.00,0.65
60.00,0.74
57.00,0.85
84.00,0.50
43.00,0.93
38.00,0.89
76.00,0.63
70.00,0.25
83.00,0.39
51.00,0.90
55.00,0.30
92.00,0.50
94.00,0.38
79.00,0.45
105.00,0.35
53.00,0.88
81.00,0.77
75.00,0.85
70.00,0.68
61.00,0.36
95.00,0.52
58.00,0.66
72.00,0.59
107.00,0.22
74.00,0.21
31.00,0.99
81.00,0.51
89.00,0.52
40.00,0.89
79.00,0.27
46.00,0.65
48.00,0.85
64.00,0.54
48.00,0.81
51.00,0.54
52.00,0.91
59.00,0.96
69.00,0.72
50.00,0.69
70.00,0.56
68.00,0.68
86.00,0.47
113.00,0.35
74.00,0.56
67.00,0.29
44.00,0.87
82.00,0.23
55.00,0.66
80.00,0.51
78.00,0.61
56.00,0.80
51.00,0.37
65.00,0.74
68.00,0.27
59.00,0.75
49.00,0.87
81.00,0.21
63.00,0.55
86.00,0.50
69.00,0.54
70.00,0.90
70.00,0.85
93.00,0.26
54.00,0.81
66.00,0.46
61.00,0.32
49.00,0.91
76.00,0.66
54.00,0.75
75.00,0.19
61.00,0.17
90.00,0.66
68.00,0.83
76.00,0.82
34.00,0.97
62.00,0.79
68.00,0.72
43.00,0.93
43.00,0.92
84.00,0.48
51.00,0.86
53.00,0.92
81.00,0.17
54.00,0.93
59.00,0.58
39.00,1.00
73.00,0.61
65.00,0.58
56.00,0.79
58.00,0.67
78.00,0.82
48.00,0.84
45.00,0.88
81.00,0.22
68.00,0.75
56.00,0.97
85.00,0.48
83.00,0.54
38.00,0.96
36.00,0.89
90.00,0.36
38.00,0.89
49.00,0.89
41.00,0.78
69.00,0.70
68.00,0.63
52.00,0.97
85.00,0.23
62.00,0.61
76.00,0.46
90.00,0.32
34.00,0.92
101.00,0.31
94.00,0.54
70.00,0.20
95.00,0.70
43.00,0.92
68.00,0.55
57.00,0.88
65.00,0.44
81.00,0.35
83.00,0.43
67.00,0.82
73.00,0.62
64.00,0.39
78.00,0.81
54.00,0.87
87.00,0.31
82.00,0.44
75.00,0.44
100.00,0.28
79.00,0.44
73.00,0.23
48.00,0.53
88.00,0.36
68.00,0.89
76.00,0.74
66.00,0.43
84.00,0.46
66.00,0.68
63.00,0.86
126.00,0.37
86.00,0.65
65.00,0.83
82.00,0.64
102.00,0.24
97.00,0.29
90.00,0.73
92.00,0.27
50.00,0.60
63.00,0.38
115.00,0.21
46.00,0.89
91.00,0.35
65.00,0.91
116.00,0.37
57.00,0.40
84.00,0.32
86.00,0.27
64.00,0.94
105.00,0.22
62.00,0.76
60.00,0.83
68.00,0.52
44.00,0.92
53.00,0.52
91.00,0.47
79.00,0.24
50.00,0.60
67.00,0.62
48.00,0.59
84.00,0.25
85.00,0.37
85.00,0.43
51.00,0.97
52.00,0.77
52.00,0.86
87.00,0.70
66.00,0.71
91.00,0.61
64.00,0.75
44.00,0.49
83.00,0.47
65.00,0.82
79.00,0.41
41.00,0.74
66.00,0.77
77.00,0.66
64.00,0.89
73.00,0.17
87.00,0.71
37.00,0.90
47.00,0.76
78.00,0.27
59.00,0.40
95.00,0.51
90.00,0.78
72.00,0.50
108.00,0.30
90.00,0.38
65.00,0.71
75.00,0.46
87.00,0.54
48.00,0.86
71.00,0.50
69.00,0.39
117.00,0.23
64.00,0.68
103.00,0.23
100.00,0.25
94.00,0.42
65.00,0.45
96.00,0.43
79.00,0.28
114.00,0.20
83.00,0.61
46.00,0.76
86.00,0.23
54.00,0.65
118.00,0.46
51.00,0.70
68.00,0.84
61.00,0.77
64.00,0.56
75.00,0.40
82.00,0.46
92.00,0.33
60.00,0.39
50.00,0.97
104.00,0.56
68.00,0.67
57.00,0.56
112.00,0.21
91.00,0.46
39.00,0.93
98.00,0.46
59.00,0.71
95.00,0.21
63.00,0.99
49.00,0.92
59.00,0.78
79.00,0.34
84.00,0.20
89.00,0.35
134.00,0.24
65.00,0.58
74.00,0.21
44.00,0.93
74.00,0.78
57.00,0.66
61.00,0.83
49.00,0.88
68.00,0.73
92.00,0.30
81.00,0.39
43.00,0.75
35.00,0.84
79.00,0.24
74.00,0.52
62.00,0.86
92.00,0.40
45.00,0.98
74.00,0.29
85.00,0.33
81.00,0.57
63.00,0.51
36.00,1.00
86.00,0.70
45.00,0.83
58.00,0.74
45.00,0.70
54.00,0.83
84.00,0.51
95.00,0.40
59.00,0.59
69.00,0.31
62.00,0.21
77.00,0.44
71.00,0.60
83.00,0.76
83.00,0.40
55.00,0.49
60.00,0.57
64.00,0.55
38.00,0.97
115.00,0.37
75.00,0.43
82.00,0.62
73.00,0.23
41.00,0.90
95.00,0.23
65.00,0.57
57.00,0.79
87.00,0.40
27.00,0.95
71.00,0.55
89.00,0.48
112.00,0.29
79.00,0.29
74.00,0.39
58.00,0.79
90.00,0.72
79.00,0.56
107.00,0.48
72.00,0.86
89.00,0.21
45.00,0.88
40.00,0.93
63.00,0.81
80.00,0.53
62.00,0.59
78.00,0.53
77.00,0.28
52.00,0.77
59.00,0.77
50.00,0.55
57.00,0.72
71.00,0.56
72.00,0.76
80.00,0.28
103.00,0.27
66.00,0.77
74.00,0.76
49.00,0.69
64.00,0.74
92.00,0.58
46.00,0.76
74.00,0.32
32.00,1.00
53.00,0.26
43.00,0.89
52.00,0.75
97.00,0.50
105.00,0.28
70.00,0.69
70.00,0.35
49.00,0.75
85.00,0.45
102.00,0.56
59.00,0.51
67.00,0.21
69.00,0.58
63.00,0.62
50.00,0.91
70.00,0.55
60.00,0.56
72.00,0.33
50.00,0.47
54.00,0.78
67.00,0.56
70.00,0.54
73.00,0.24
111.00,0.51
96.00,0.66
54.00,0.20
65.00,0.62
78.00,0.44
96.00,0.19
55.00,0.70
80.00,0.35
56.00,0.42
37.00,0.97
87.00,0.31
55.00,0.78
95.00,0.56
79.00,0.47
21.00,0.96
48.00,0.95
61.00,0.90
37.00,0.79
79.00,0.19
54.00,0.96
52.00,0.96
56.00,0.68
76.00,0.82
121.00,0.31
73.00,0.75
59.00,0.74
76.00,0.51
80.00,0.31
