cases,gamma
61.00,0.93
46.00,0.93
59.00,0.70
70.00,0.79
79.00,0.23
92.00,0.41
60.00,0.75
86.00,0.84
81.00,0.17
100.00,0.30
76.00,0.51
52.00,0.94
68.00,0.54
45.00,0.91
56.00,0.88
61.00,0.87
49.00,0.99
104.00,0.47
92.00,0.37
78.00,0.22
93.00,0.54
71.00,0.37
88.00,0.21
57.00,0.69
71.00,0.57
50.00,0.75
47.00,1.00
35.00,0.84
59.00,0.41
52.00,0.73
77.00,0.41
75.00,0.61
78.00,0.43
55.00,0.71
87.00,0.52
71.00,0.20
66.00,0.75
76.00,0.54
68.00,0.47
101.00,0.43
42.00,0.87
66.00,0.24
79.00,0.56
79.00,0.41
58.00,0.40
101.00,0.26
57.00,0.81
77.00,0.24
81.00,0.73
86.00,0.23
54.00,0.22
89.00,0.85
72.00,0.56
66.00,0.74
78.00,0.57
111.00,0.41
80.00,0.62
67.00,0.49
73.00,0.55
55.00,0.70
58.00,0.39
54.00,0.53
74.00,0.23
64.00,0.63
65.00,0.70
62.00,0.59
70.00,0.70
48.00,0.93
44.00,0.82
73.00,0.65
74.00,0.71
39.00,1.00
61.00,0.90
67.00,0.79
113.00,0.22
69.00,0.52
46.00,0.98
80.00,0.59
59.00,0.83
75.00,0.32
56.00,0.77
103.00,0.37
73.00,0.25
64.00,0.22
54.00,0.90
69.00,0.45
74.00,0.39
63.00,0.93
66.00,0.64
42.00,0.93
69.00,0.30
105.00,0.39
71.00,0.25
73.00,0.35
66.00,0.61
56.00,0.36
55.00,0.61
65.00,0.62
65.00,0.69
61.00,0.61
74.00,0.31
57.00,0.78
116.00,0.40
43.00,0.91
71.00,0.71
80.00,0.45
72.00,0.62
91.00,0.25
89.00,0.39
35.00,0.98
68.00,0.18
41.00,0.77
84.00,0.60
86.00,0.44
41.00,0.53
58.00,0.98
57.00,0.56
102.00,0.24
95.00,0.42
75.00,0.68
80.00,0.57
57.00,0.96
82.00,0.56
72.00,0.43
69.00,0.80
68.00,0.81
98.00,0.33
104.00,0.39
60.00,0.78
47.00,0.82
59.00,0.81
78.00,0.22
67.00,0.29
69.00,0.86
43.00,1.00
88.00,0.51
58.00,0.23
44.00,1.00
83.00,0.20
75.00,0.59
83.00,0.82
64.00,0.73
104.00,0.37
36.00,0.97
62.00,0.51
61.00,0.73
54.00,0.63
88.00,0.26
48.00,0.73
114.00,0.32
91.00,0.64
99.00,0.52
67.00,0.73
81.00,0.42
87.00,0.48
48.00,0.96
58.00,0.79
82.00,0.47
71.00,0.44
58.00,0.79
67.00,0.46
91.00,0.21
80.00,0.60
36.00,0.95
71.00,0.47
33.00,0.97
81.00,0.57
70.00,0.25
80.00,0.68
73.00,0.23
53.00,0.93
53.00,0.21
67.00,0.43
63.00,0.71
72.00,0.66
87.00,0.29
95.00,0.59
57.00,0.88
91.00,0.19
67.00,0.37
63.00,0.51
73.00,0.27
48.00,0.74
57.00,0.61
91.00,0.38
51.00,0.22
56.00,0.82
70.00,0.51
95.00,0.28
82.00,0.45
79.00,0.41
73.00,0.58
80.00,0.71
60.00,0.51
64.00,0.33
85.00,0.33
61.00,0.85
48.00,0.71
82.00,0.79
118.00,0.56
52.00,0.81
97.00,0.52
41.00,0.72
79.00,0.58
79.00,0.62
91.00,0.38
53.00,0.99
89.00,0.39
80.00,0.47
60.00,0.75
75.00,0.57
86.00,0.53
73.00,0.81
75.00,0.58
65.00,0.70
54.00,0.76
37.00,0.82
34.00,0.97
79.00,0.72
70.00,0.25
86.00,0.60
45.00,0.63
64.00,0.78
60.00,0.76
48.00,0.92
78.00,0.57
75.00,0.35
97.00,0.28
87.00,0.25
96.00,0.26
68.00,0.48
47.00,0.75
64.00,0.85
56.00,0.85
106.00,0.36
82.00,0.47
90.00,0.57
106.00,0.31
104.00,0.39
69.00,0.39
50.00,0.87
44.00,0.88
58.00,0.87
79.00,0.39
80.00,0.55
100.00,0.29
72.00,0.60
75.00,0.35
52.00,0.97
40.00,0.93
85.00,0.23
40.00,0.78
59.00,0.78
58.00,0.73
77.00,0.38
65.00,0.83
117.00,0.23
74.00,0.89
71.00,0.51
101.00,0.20
79.00,0.38
78.00,0.41
70.00,0.30
30.00,0.90
62.00,0.84
38.00,0.94
74.00,0.25
68.00,0.65
91.00,0.71
62.00,0.89
74.00,0.40
50.00,0.88
60.00,0.84
58.00,0.85
54.00,0.62
40.00,0.83
127.00,0.24
27.00,0.74
84.00,0.33
53.00,0.83
46.00,0.89
57.00,0.66
84.00,0.65
49.00,0.36
69.00,0.19
74.00,0.23
64.00,0.31
74.00,0.82
75.00,0.48
70.00,0.50
76.00,0.65
76.00,0.49
58.00,0.84
69.00,0.59
70.00,0.48
90.00,0.25
113.00,0.50
84.00,0.66
53.00,0.57
90.00,0.25
76.00,0.22
48.00,0.94
85.00,0.62
41.00,0.98
62.00,0.73
66.00,0.72
98.00,0.57
66.00,0.83
44.00,0.89
90.00,0.53
86.00,0.23
34.00,0.77
79.00,0.54
83.00,0.57
61.00,0.31
45.00,0.79
56.00,0.69
87.00,0.48
48.00,0.94
41.00,0.78
116.00,0.35
61.00,0.61
34.00,0.84
70.00,0.71
77.00,0.63
79.00,0.46
75.00,0.70
63.00,0.74
72.00,0.79
42.00,0.95
60.00,0.41
48.00,0.89
60.00,0.74
71.00,0.60
45.00,0.91
36.00,0.91
67.00,0.77
76.00,0.68
79.00,0.62
62.00,0.37
52.00,0.88
72.00,0.64
99.00,0.37
72.00,0.84
115.00,0.38
76.00,0.50
79.00,0.84
29.00,1.00
65.00,0.69
57.00,0.85
73.00,0.20
80.00,0.27
67.00,0.72
81.00,0.37
60.00,0.76
107.00,0.23
51.00,0.85
89.00,0.39
44.00,0.95
54.00,0.84
68.00,0.39
55.00,0.65
79.00,0.35
102.00,0.34
84.00,0.35
84.00,0.47
49.00,0.99
68.00,0.78
46.00,0.78
70.00,0.45
68.00,0.65
52.00,0.69
70.00,0.22
89.00,0.25
61.00,0.48
100.00,0.37
66.00,0.58
116.00,0.42
60.00,0.80
83.00,0.32
77.00,0.34
67.00,0.77
33.00,0.92
50.00,0.79
61.00,0.88
56.00,0.81
53.00,0.89
94.00,0.63
111.00,0.18
60.00,0.87
59.00,0.80
48.00,0.48
106.00,0.37
49.00,0.39
93.00,0.34
36.00,0.88
55.00,0.40
74.00,0.55
65.00,0.82
89.00,0.62
37.00,0.98
67.00,0.35
90.00,0.39
85.00,0.41
100.00,0.63
60.00,0.52
66.00,0.39
100.00,0.56
67.00,0.42
103.00,0.37
82.00,0.74
88.00,0.86
46.00,0.79
90.00,0.25
60.00,0.19
108.00,0.47
79.00,0.48
98.00,0.29
61.00,0.85
85.00,0.39
42.00,0.87
74.00,0.82
57.00,0.79
67.00,0.55
43.00,0.89
40.00,0.66
38.00,0.93
82.00,0.25
47.00,0.93
97.00,0.18
40.00,0.79
71.00,0.53
67.00,0.37
49.00,0.89
62.00,0.62
85.00,0.43
70.00,0.29
38.00,0.84
52.00,0.84
86.00,0.76
69.00,0.24
91.00,0.42
64.00,0.79
77.00,0.38
67.00,0.57
94.00,0.37
45.00,0.88
44.00,0.94
59.00,0.83
74.00,0.22
67.00,0.92
63.00,0.87
65.00,0.54
74.00,0.67
65.00,0.85
79.00,0.24
80.00,0.17
32.00,0.96
70.00,0.27
91.00,0.65
85.00,0.82
67.00,0.66
62.00,0.45
57.00,0.71
54.00,0.76
40.00,0.92
97.00,0.34
68.00,0.82
81.00,0.56
49.00,1.00
49.00,0.83
84.00,0.40
68.00,0.19
74.00,0.52
51.00,0.98
101.00,0.19
83.00,0.47
70.00,0.56
88.00,0.58
56.00,0.73
73.00,0.80
61.00,0.80
97.00,0.61
67.00,0.71
56.00,0.81
64.00,0.73
61.00,0.44
102.00,0.31
64.00,0.86
81.00,0.25
63.00,0.85
44.00,0.88
81.00,0.71
71.00,0.37
56.00,0.92
91.00,0.42
95.00,0.51
49.00,0.72
87.00,0.25
43.00,0.90
55.00,0.85
53.00,0.30
40.00,0.83
67.00,0.62
41.00,0.74
61.00,0.27
95.00,0.32
94.00,0.46
72.00,0.18
67.00,0.31
85.00,0.67
85.00,0.27
80.00,0.74
73.00,0.39
60.00,0.70
37.00,0.71
93.00,0.45
74.00,0.72
78.00,0.43
30.00,0.95
46.00,0.95
54.00,0.88
58.00,0.89
33.00,0.75
49.00,0.88
85.00,0.42
55.00,0.81
53.00,0.93
93.00,0.18
49.00,0.54
73.00,0.37
88.00,0.31
92.00,0.40
72.00,0.42
63.00,0.62
82.00,0.21
46.00,0.48
100.00,0.35
71.00,0.94
48.00,0.91
45.00,0.90
59.00,0.91
68.00,0.78
66.00,0.17
54.00,0.76
45.00,0.59
85.00,0.59
38.00,0.97
96.00,0.28
90.00,0.29
61.00,0.82
64.00,0.86
90.00,0.55
100.00,0.18
100.00,0.52
43.00,0.86
46.00,0.54
85.00,0.45
87.00,0.60
79.00,0.20
69.00,0.54
41.00,0.66
97.00,0.51
72.00,0.44
95.00,0.52
112.00,0.23
37.00,0.80
83.00,0.57
37.00,0.92
66.00,0.72
98.00,0.23
83.00,0.58
71.00,0.28
66.00,0.21
82.00,0.79
52.00,0.79
61.00,0.30
58.00,0.87
77.00,0.27
120.00,0.27
96.00,0.25
75.00,0.78
86.00,0.33
93.00,0.30
76.00,0.30
80.00,0.61
81.00,0.25
46.00,0.93
75.00,0.37
69.00,0.69
81.00,0.42
89.00,0.49
120.00,0.19
89.00,0.76
43.00,0.90
47.00,0.93
103.00,0.59
66.00,0.29
69.00,0.72
75.00,0.80
62.00,0.65
100.00,0.43
38.00,0.92
49.00,0.85
72.00,0.49
87.00,0.32
68.00,0.42
71.00,0.49
93.00,0.51
97.00,0.37
78.00,0.45
126.00,0.33
68.00,0.35
46.00,0.78
76.00,0.41
80.00,0.61
73.00,0.87
85.00,0.42
90.00,0.30
70.00,0.66
51.00,0.68
76.00,0.18
88.00,0.29
64.00,0.68
33.00,0.74
86.00,0.29
85.00,0.62
82.00,0.41
113.00,0.31
86.00,0.50
86.00,0.37
63.00,0.76
52.00,0.75
60.00,0.67
74.00,0.77
62.00,0.45
60.00,0.81
118.00,0.31
85.00,0.58
69.00,0.29
90.00,0.52
37.00,0.95
77.00,0.68
61.00,0.57
92.00,0.45
80.00,0.17
68.00,0.65
97.00,0.32
39.00,0.88
57.00,0.64
46.00,0.78
62.00,0.87
70.00,0.56
77.00,0.35
65.00,0.70
43.00,0.87
35.00,0.76
42.00,0.81
53.00,0.77
85.00,0.34
91.00,0.29
55.00,0.55
38.00,0.95
67.00,0.64
40.00,0.24
72.00,0.23
104.00,0.40
82.00,0.32
67.00,0.52
70.00,0.49
57.00,0.64
46.00,0.84
79.00,0.46
58.00,0.65
80.00,0.42
38.00,0.68
89.00,0.55
69.00,0.61
72.00,0.37
78.00,0.66
78.00,0.28
63.00,0.41
79.00,0.57
59.00,0.37
47.00,0.94
73.00,0.44
46.00,0.23
70.00,0.62
65.00,0.48
60.00,0.17
61.00,0.78
79.00,0.19
96.00,0.38
69.00,0.48
108.00,0.48
98.00,0.28
69.00,0.57
65.00,0.48
99.00,0.66
70.00,0.74
76.00,0.43
87.00,0.50
89.00,0.53
43.00,0.65
87.00,0.61
81.00,0.45
48.00,0.92
37.00,0.73
78.00,0.17
111.00,0.26
48.00,0.83
51.00,0.72
61.00,0.37
42.00,0.99
81.00,0.47
75.00,0.76
83.00,0.68
99.00,0.30
78.00,0.63
67.00,0.61
71.00,0.80
80.00,0.42
48.00,0.89
85.00,0.74
54.00,0.92
64.00,0.71
46.00,0.78
65.00,0.68
76.00,0.20
77.00,0.55
48.00,0.90
106.00,0.47
74.00,0.58
60.00,0.36
57.00,0.54
76.00,0.43
85.00,0.46
99.00,0.17
28.00,0.96
115.00,0.35
81.00,0.67
65.00,0.24
92.00,0.36
72.00,0.65
37.00,1.00
54.00,0.53
103.00,0.32
76.00,0.33
65.00,0.66
50.00,0.84
68.00,0.86
108.00,0.34
63.00,0.52
67.00,0.45
92.00,0.22
80.00,0.63
84.00,0.32
84.00,0.85
92.00,0.51
73.00,0.85
73.00,0.65
65.00,0.35
88.00,0.27
132.00,0.22
49.00,0.68
58.00,0.75
81.00,0.28
72.00,0.51
62.00,0.83
54.00,0.98
76.00,0.55
118.00,0.34
44.00,0.94
68.00,0.81
110.00,0.27
82.00,0.39
81.00,0.28
52.00,0.52
51.00,0.91
66.00,0.76
71.00,0.33
96.00,0.49
72.00,0.31
37.00,0.90
54.00,0.84
79.00,0.61
63.00,0.86
72.00,0.86
117.00,0.26
89.00,0.30
73.00,0.74
95.00,0.33
62.00,0.36
94.00,0.30
75.00,0.68
76.00,0.46
79.00,0.27
63.00,0.18
43.00,0.88
39.00,0.93
65.00,0.68
84.00,0.39
41.00,0.82
108.00,0.26
62.00,0.34
59.00,0.46
76.00,0.33
63.00,0.82
98.00,0.41
87.00,0.58
41.00,0.88
49.00,0.26
87.00,0.46
50.00,0.84
54.00,0.58
29.00,0.93
100.00,0.51
85.00,0.31
67.00,0.61
67.00,0.60
33.00,0.92
67.00,0.35
51.00,0.69
67.00,0.64
73.00,0.55
55.00,0.89
54.00,0.79
40.00,0.41
89.00,0.73
31.00,0.83
43.00,0.90
61.00,0.49
52.00,0.85
74.00,0.44
64.00,0.29
66.00,0.33
95.00,0.28
67.00,0.79
45.00,0.93
49.00,0.69
71.00,0.20
49.00,0.90
84.00,0.35
51.00,0.97
53.00,0.94
57.00,0.54
85.00,0.46
67.00,0.17
114.00,0.37
69.00,0.45
90.00,0.60
107.00,0.17
91.00,0.28
35.00,0.99
87.00,0.45
43.00,0.68
94.00,0.28
81.00,0.48
63.00,0.29
78.00,0.30
82.00,0.24
104.00,0.29
68.00,0.63
69.00,0.71
45.00,0.98
77.00,0.57
60.00,0.61
66.00,0.59
69.00,0.82
71.00,0.75
51.00,0.74
49.00,0.94
51.00,0.93
74.00,0.31
74.00,0.87
82.00,0.23
81.00,0.32
120.00,0.51
56.00,0.86
84.00,0.36
33.00,0.90
48.00,0.62
85.00,0.30
44.00,0.79
109.00,0.45
61.00,0.84
63.00,0.66
95.00,0.56
58.00,0.84
53.00,0.93
74.00,0.55
98.00,0.53
73.00,0.67
83.00,0.54
74.00,0.40
57.00,0.75
77.00,0.66
80.00,0.30
87.00,0.52
78.00,0.20
70.00,0.55
52.00,0.67
49.00,0.94
68.00,0.67
105.00,0.64
51.00,0.77
99.00,0.43
49.00,0.77
77.00,0.59
62.00,0.79
82.00,0.54
45.00,0.90
66.00,0.38
108.00,0.36
57.00,0.35
70.00,0.77
52.00,0.67
82.00,0.32
99.00,0.33
79.00,0.40
71.00,0.31
55.00,0.37
92.00,0.21
59.00,0.84
34.00,0.87
46.00,0.35
71.00,0.34
84.00,0.70
48.00,0.90
121.00,0.19
109.00,0.48
107.00,0.43
98.00,0.34
89.00,0.33
71.00,0.51
81.00,0.33
73.00,0.65
61.00,0.48
51.00,0.47
94.00,0.56
76.00,0.34
72.00,0.25
62.00,0.76
79.00,0.56
98.00,0.27
53.00,0.46
60.00,0.65
67.00,0.41
54.00,0.94
50.00,0.85
57.00,0.38
66.00,0.26
140.00,0.26
85.00,0.18
65.00,0.28
57.00,0.67
103.00,0.39
66.00,0.45
91.00,0.31
68.00,0.55
55.00,0.77
61.00,0.61
89.00,0.51
88.00,0.53
82.00,0.76
53.00,0.40
64.00,0.39
76.00,0.17
102.00,0.17
51.00,0.69
96.00,0.22
64.00,0.28
72.00,0.54
85.00,0.46
76.00,0.36
61.00,0.76
50.00,0.78
41.00,0.90
54.00,0.69
86.00,0.29
79.00,0.22
74.00,0.33
62.00,0.23
37.00,0.84
40.00,1.00
91.00,0.27
54.00,0.45
49.00,0.47
79.00,0.17
100.00,0.63
89.00,0.37
55.00,0.47
83.00,0.34
74.00,0.64
59.00,0.85
68.00,0.42
43.00,0.81
54.00,0.77
54.00,0.74
47.00,0.71
42.00,0.97
82.00,0.77
65.00,0.42
57.00,0.81
84.00,0.37
50.00,0.72
89.00,0.54
49.00,0.94
27.00,0.91
48.00,0.96
68.00,0.18
52.00,0.48
56.00,0.88
70.00,0.24
75.00,0.64
52.00,0.93
70.00,0.83
108.00,0.62
58.00,0.57
83.00,0.29
85.00,0.42
100.00,0.26
89.00,0.75
89.00,0.41
61.00,0.80
85.00,0.43
91.00,0.32
86.00,0.56
61.00,0.82
28.00,0.82
105.00,0.74
92.00,0.74
105.00,0.20
68.00,0.25
82.00,0.47
82.00,0.34
64.00,0.30
40.00,0.77
91.00,0.27
43.00,0.92
90.00,0.69
58.00,0.95
106.00,0.23
62.00,0.42
91.00,0.43
68.00,0.79
67.00,0.78
76.00,0.37
81.00,0.37
89.00,0.46
63.00,0.74
53.00,0.46
80.00,0.56
68.00,0.87
54.00,0.74
82.00,0.35
41.00,0.96
58.00,0.86
91.00,0.56
34.00,0.90
59.00,0.76
43.00,0.97
75.00,0.56
52.00,0.83
70.00,0.49
70.00,0.64
93.00,0.69
69.00,0.93
62.00,0.83
122.00,0.30
59.00,0.66
73.00,0.19
60.00,0.95
75.00,0.66
76.00,0.57
42.00,0.80
63.00,0.27
56.00,0.97
69.00,0.80
51.00,0.62
26.00,0.99
49.00,0.81
82.00,0.21
81.00,0.50
57.00,0.93
67.00,0.56
63.00,0.91
104.00,0.21
73.00,0.34
53.00,0.93
67.00,0.82
62.00,0.69
97.00,0.23
54.00,0.90
94.00,0.43
62.00,0.71
73.00,0.46
78.00,0.81
110.00,0.19
76.00,0.48
56.00,0.88
51.00,0.76
75.00,0.27
53.00,0.85
58.00,0.98
56.00,0.74
87.00,0.28
78.00,0.38
40.00,0.97
80.00,0.52
20.00,0.99
71.00,0.42
41.00,0.85
59.00,0.75
57.00,0.86
79.00,0.66
65.00,0.83
77.00,0.63
58.00,0.78
94.00,0.22
87.00,0.26
73.00,0.66
66.00,0.35
90.00,0.56
69.00,0.76
70.00,0.78
25.00,0.99
92.00,0.52
80.00,0.50
74.00,0.67
89.00,0.26
50.00,0.63
80.00,0.28
37.00,0.87
88.00,0.55
57.00,0.97
97.00,0.53
87.00,0.22
59.00,0.92
75.00,0.39
87.00,0.40
57.00,0.75
78.00,0.18
95.00,0.22
78.00,0.40
58.00,0.72
72.00,0.19
78.00,0.57
46.00,0.54
68.00,0.64
43.00,0.98
98.00,0.18
56.00,0.89
104.00,0.52
64.00,0.79
53.00,0.96
75.00,0.19
51.00,0.72
47.00,0.86
42.00,0.69
46.00,0.96
50.00,0.84
65.00,0.81
36.00,0.75
77.00,0.43
57.00,0.51
77.00,0.19
81.00,0.33
30.00,0.98
63.00,0.69
74.00,0.56
62.00,0.56
87.00,0.56
73.00,0.63
58.00,0.68
38.00,0.97
45.00,0.43
68.00,0.54
59.00,0.86
72.00,0.75
37.00,0.93
85.00,0.40
48.00,0.86
76.00,0.60
83.00,0.58
80.00,0.34
83.00,0.51
50.00,0.67
86.00,0.63
103.00,0.46
129.00,0.30
81.00,0.86
95.00,0.21
73.00,0.60
56.00,0.90
71.00,0.38
37.00,0.84
49.00,0.83
72.00,0.92
65.00,0.61
59.00,0.65
37.00,0.84
82.00,0.50
94.00,0.41
60.00,0.90
92.00,0.61
100.00,0.41
39.00,0.79
55.00,0.18
83.00,0.31
72.00,0.23
40.00,0.75
107.00,0.59
76.00,0.32
35.00,0.72
39.00,0.95
36.00,0.97
90.00,0.21
56.00,0.65
78.00,0.78
48.00,0.74
89.00,0.45
67.00,0.45
29.00,0.98
60.00,0.82
81.00,0.39
63.00,0.86
86.00,0.67
71.00,0.44
71.00,0.58
101.00,0.36
72.00,0.49
81.00,0.24
62.00,0.65
75.00,0.66
76.00,0.64
68.00,0.57
81.00,0.28
78.00,0.55
56.00,0.92
104.00,0.46
55.00,0.91
64.00,0.55
103.00,0.27
106.00,0.41
45.00,0.69
46.00,0.89
63.00,0.88
50.00,0.93
62.00,0.91
83.00,0.39
76.00,0.61
56.00,0.67
59.00,0.42
95.00,0.23
90.00,0.30
55.00,0.70
33.00,0.84
50.00,0.54
98.00,0.25
86.00,0.27
67.00,0.76
88.00,0.19
50.00,0.31
82.00,0.62
105.00,0.48
93.00,0.61
40.00,0.99
50.00,0.80
100.00,0.53
79.00,0.59
52.00,0.86
75.00,0.26
79.00,0.22
52.00,0.64
91.00,0.34
72.00,0.77
100.00,0.48
66.00,0.49
107.00,0.40
47.00,0.70
54.00,0.89
103.00,0.19
71.00,0.55
77.00,0.33
53.00,0.83
84.00,0.66
49.00,0.73
81.00,0.54
46.00,0.97
98.00,0.49
75.00,0.45
64.00,0.46
42.00,0.76
54.00,0.95
71.00,0.31
89.00,0.57
25.00,0.98
75.00,0.60
96.00,0.32
37.00,0.91
64.00,0.73
94.00,0.31
63.00,0.36
55.00,0.74
64.00,0.28
85.00,0.38
58.00,0.86
106.00,0.33
52.00,0.92
105.00,0.25
60.00,0.75
69.00,0.33
74.00,0.59
57.00,0.77
69.00,0.30
93.00,0.21
61.00,0.65
73.00,0.34
75.00,0.24
89.00,0.52
86.00,0.54
94.00,0.64
52.00,0.92
80.00,0.69
87.00,0.27
59.00,0.73
87.00,0.51
53.00,0.61
97.00,0.23
83.00,0.78
90.00,0.33
72.00,0.47
50.00,0.84
91.00,0.24
83.00,0.57
35.00,0.69
79.00,0.57
104.00,0.34
41.00,0.99
94.00,0.17
52.00,0.50
57.00,0.89
75.00,0.61
84.00,0.52
61.00,0.63
68.00,0.43
36.00,1.00
81.00,0.41
71.00,0.71
38.00,0.92
55.00,0.35
53.00,0.67
79.00,0.45
70.00,0.89
33.00,0.96
56.00,0.89
79.00,0.35
80.00,0.57
84.00,0.28
61.00,0.91
58.00,0.19
55.00,0.80
63.00,0.82
45.00,0.96
76.00,0.23
87.00,0.61
66.00,0.80
81.00,0.20
51.00,0.77
67.00,0.84
109.00,0.45
40.00,0.84
92.00,0.53
83.00,0.21
74.00,0.55
68.00,0.87
115.00,0.22
34.00,0.92
103.00,0.21
69.00,0.39
73.00,0.79
56.00,0.81
86.00,0.45
72.00,0.45
66.00,0.75
44.00,0.81
63.00,0.67
79.00,0.71
69.00,0.48
52.00,0.76
86.00,0.21
79.00,0.52
80.00,0.67
95.00,0.26
85.00,0.23
75.00,0.56
61.00,0.64
64.00,0.63
81.00,0.71
54.00,0.83
80.00,0.39
102.00,0.36
84.00,0.18
106.00,0.22
65.00,0.71
88.00,0.33
90.00,0.47
96.00,0.31
54.00,0.84
94.00,0.28
64.00,0.80
77.00,0.22
74.00,0.62
94.00,0.57
82.00,0.38
57.00,0.38
86.00,0.71
68.00,0.75
62.00,0.86
78.00,0.75
116.00,0.28
97.00,0.44
58.00,0.91
91.00,0.52
79.00,0.84
57.00,0.33
97.00,0.41
112.00,0.27
67.00,0.41
63.00,0.32
63.00,0.24
100.00,0.26
42.00,0.83
93.00,0.18
52.00,0.66
56.00,0.89
104.00,0.23
65.00,0.48
57.00,0.84
94.00,0.22
60.00,0.71
77.00,0.40
97.00,0.27
59.00,0.70
55.00,0.88
67.00,0.44
96.00,0.27
67.00,0.51
48.00,0.91
104.00,0.24
52.00,0.76
57.00,0.92
62.00,0.70
69.00,0.45
99.00,0.37
75.00,0.90
74.00,0.31
71.00,0.28
86.00,0.49
81.00,0.26
69.00,0.66
100.00,0.32
66.00,0.46
64.00,0.18
45.00,0.79
63.00,0.50
51.00,0.89
58.00,0.66
65.00,0.84
69.00,0.35
46.00,0.76
34.00,0.98
88.00,0.62
99.00,0.81
45.00,0.88
81.00,0.58
83.00,0.68
107.00,0.38
63.00,0.68
52.00,0.45
92.00,0.70
36.00,0.91
83.00,0.33
59.00,0.53
40.00,0.91
65.00,0.86
77.00,0.32
58.00,0.40
58.00,0.57
58.00,0.92
66.00,0.47
81.00,0.74
54.00,0.65
49.00,0.65
104.00,0.64
79.00,0.73
60.00,0.60
75.00,0.73
68.00,0.71
68.00,0.73
48.00,0.38
81.00,0.54
101.00,0.50
77.00,0.69
62.00,0.46
45.00,0.94
59.00,0.71
72.00,0.40
67.00,0.81
67.00,0.29
69.00,0.69
59.00,0.81
94.00,0.48
99.00,0.38
98.00,0.33
42.00,0.35
67.00,0.66
93.00,0.28
67.00,0.44
105.00,0.43
55.00,0.76
47.00,0.64
65.00,0.63
85.00,0.38
74.00,0.38
92.00,0.30
84.00,0.45
59.00,0.75
48.00,0.83
34.00,0.94
57.00,0.75
78.00,0.78
22.00,0.95
57.00,0.20
64.00,0.65
88.00,0.43
54.00,0.89
66.00,0.44
72.00,0.50
57.00,0.79
71.00,0.21
83.00,0.58
45.00,0.97
85.00,0.71
82.00,0.70
62.00,0.85
66.00,0.73
53.00,0.26
71.00,0.70
52.00,0.81
78.00,0.22
62.00,0.61
31.00,1.00
73.00,0.64
53.00,0.45
47.00,0.90
82.00,0.37
75.00,0.70
39.00,0.94
31.00,0.99
61.00,0.85
59.00,0.99
79.00,0.20
96.00,0.61
38.00,0.98
100.00,0.35
68.00,0.69
86.00,0.36
68.00,0.68
49.00,0.99
75.00,0.43
83.00,0.22
41.00,0.92
87.00,0.62
70.00,0.50
96.00,0.31
62.00,0.73
62.00,0.79
66.00,0.60
62.00,0.33
78.00,0.67
98.00,0.21
113.00,0.68
112.00,0.54
55.00,0.76
79.00,0.58
86.00,0.27
75.00,0.70
110.00,0.26
91.00,0.42
38.00,0.99
58.00,0.44
96.00,0.29
47.00,0.99
64.00,0.85
49.00,0.89
79.00,0.20
99.00,0.47
63.00,0.42
115.00,0.23
67.00,0.35
69.00,0.62
82.00,0.31
65.00,0.73
71.00,0.57
40.00,0.95
76.00,0.63
42.00,0.94
61.00,0.88
70.00,0.51
41.00,0.95
44.00,0.80
94.00,0.45
44.00,0.93
81.00,0.60
58.00,0.71
79.00,0.28
44.00,0.94
68.00,0.70
52.00,0.95
105.00,0.42
81.00,0.39
66.00,0.61
74.00,0.77
88.00,0.31
67.00,0.84
96.00,0.58
43.00,0.95
92.00,0.40
45.00,0.74
107.00,0.37
69.00,0.85
49.00,0.99
75.00,0.43
86.00,0.61
59.00,0.75
67.00,0.43
44.00,0.96
73.00,0.44
69.00,0.63
62.00,0.75
95.00,0.40
83.00,0.24
58.00,0.83
49.00,0.59
92.00,0.34
41.00,0.95
82.00,0.21
87.00,0.71
95.00,0.22
57.00,0.77
78.00,0.67
57.00,0.78
44.00,0.76
74.00,0.33
38.00,0.74
105.00,0.39
78.00,0.23
67.00,0.77
67.00,0.79
75.00,0.82
39.00,0.87
105.00,0.17
75.00,0.41
59.00,0.88
88.00,0.57
54.00,0.91
76.00,0.49
76.00,0.62
76.00,0.67
120.00,0.38
83.00,0.27
74.00,0.36
48.00,0.84
45.00,0.60
70.00,0.80
72.00,0.46
87.00,0.18
73.00,0.33
58.00,0.50
104.00,0.30
57.00,0.41
71.00,0.41
85.00,0.33
67.00,0.60
89.00,0.34
51.00,0.83
99.00,0.27
51.00,0.86
76.00,0.45
42.00,0.93
72.00,0.57
82.00,0.51
78.00,0.72
41.00,0.88
73.00,0.52
46.00,0.77
52.00,0.71
87.00,0.61
67.00,0.42
59.00,0.84
66.00,0.56
62.00,0.66
74.00,0.29
67.00,0.18
52.00,0.22
69.00,0.35
29.00,0.98
75.00,0.44
65.00,0.74
67.00,0.37
39.00,0.43
97.00,0.25
74.00,0.44
66.00,0.84
77.00,0.59
58.00,0.84
84.00,0.69
72.00,0.24
82.00,0.44
49.00,0.78
81.00,0.68
81.00,0.25
73.00,0.42
74.00,0.25
45.00,0.99
53.00,0.92
82.00,0.41
53.00,0.45
86.00,0.35
68.00,0.75
91.00,0.32
86.00,0.67
57.00,0.81
67.00,0.48
75.00,0.20
73.00,0.59
105.00,0.23
62.00,0.88
63.00,0.52
64.00,0.77
67.00,0.96
51.00,0.85
50.00,0.93
79.00,0.54
61.00,0.61
53.00,0.53
68.00,0.28
